"","SEQN","INDFMMPI","INDFMMPC"
"585",109847,0.59,1
"586",109848,2.13,3
"587",109849,1.42,2
"588",109850,5,3
"589",109851,1.07,1
"590",109852,NA,NA
"591",109853,1.69,2
"592",109854,NA,NA
"593",109855,0.57,1
"594",109856,1.49,2
"595",109857,2.12,3
"596",109858,2.44,3
"597",109859,0,1
"598",109860,2.94,3
"599",109861,0.61,1
"600",109862,NA,NA
"601",109863,1.64,2
"602",109864,5,3
"603",109865,0.72,1
"604",109866,5,3
"605",109867,0.58,1
"606",109868,1.39,2
"607",109869,4.97,3
"608",109870,NA,3
"609",109871,NA,NA
"610",109872,1.4,2
"611",109873,0,1
"612",109874,5,3
"613",109875,1.33,2
"614",109876,5,3
"615",109877,2.94,3
"616",109878,4.68,3
"617",109879,2.48,3
"618",109880,0.72,1
"619",109881,5,3
"620",109882,NA,NA
"621",109883,NA,9
"622",109884,5,3
"623",109885,NA,NA
"624",109886,NA,NA
"625",109887,1.8,2
"626",109888,0.92,1
"627",109889,1.4,2
"628",109890,5,3
"629",109891,2.27,3
"630",109892,2.19,3
"631",109893,1.42,2
"632",109894,2.19,3
"633",109895,NA,NA
"634",109896,2.7,3
"635",109897,0.9,1
"636",109898,0.34,1
"637",109899,1.37,2
"638",109900,5,3
"639",109901,1.25,1
"640",109902,1.78,2
"641",109903,5,3
"642",109904,0.52,1
"643",109905,NA,9
"644",109906,4.58,3
"645",109907,0.67,1
"646",109908,NA,3
"647",109909,1.35,2
"648",109910,2.59,3
"649",109911,NA,NA
"650",109912,NA,9
"651",109913,1.7,2
"652",109914,0.57,1
"653",109915,5,3
"654",109916,3.55,3
"655",109917,4.8,3
"656",109918,NA,NA
"657",109919,NA,1
"658",109920,0.92,1
"659",109921,5,3
"660",109922,0.2,1
"661",109923,0.33,1
"662",109924,1.39,2
"663",109925,4.88,3
"664",109926,NA,9
"665",109927,0.29,1
"666",109928,NA,1
"667",109929,2.42,3
"668",109930,5,3
"669",109931,0.96,1
"670",109932,4.8,3
"671",109933,5,3
"672",109934,0,1
"673",109935,1.46,2
"674",109936,1.46,2
"675",109937,NA,3
"676",109938,2.22,3
"677",109939,NA,1
"678",109940,0.52,1
"679",109941,2.49,3
"680",109942,4.94,3
"681",109943,2.94,3
"682",109944,0.99,1
"683",109945,4.37,3
"684",109946,1.59,2
"685",109947,NA,NA
"686",109948,NA,1
"687",109949,4.97,3
"688",109950,2.78,3
"689",109951,0.28,1
"690",109952,5,3
"691",109953,5,3
"692",109954,2.56,3
"693",109955,0.69,1
"694",109956,NA,1
"695",109957,1.84,2
"696",109958,5,3
"697",109959,2.37,3
"698",109960,5,3
"699",109961,5,3
"700",109962,4.18,3
"701",109963,0.57,1
"702",109964,1.22,1
"703",109965,0.72,1
"704",109966,5,3
"705",109967,0.8,1
"706",109968,NA,1
"707",109969,1.75,2
"708",109970,0.24,1
"709",109971,1.48,2
"710",109972,1.1,1
"711",109973,NA,NA
"712",109974,0,1
"713",109975,5,3
"714",109976,0,1
"715",109977,NA,NA
"716",109978,4.05,3
"717",109979,5,3
"718",109980,3.31,3
"719",109981,1.1,1
"720",109982,NA,NA
"721",109983,5,3
"722",109984,2.08,3
"723",109985,0.37,1
"724",109986,1.33,2
"725",109987,2.97,3
"726",109988,2.24,3
"727",109989,NA,NA
"728",109990,0.74,1
"729",109991,1.98,3
"730",109992,3.64,3
"731",109993,5,3
"732",109994,2.22,3
"733",109995,1.37,2
"734",109996,NA,NA
"735",109997,5,3
"736",109998,2.34,3
"737",109999,2.04,3
"738",110000,1.04,1
"739",110001,1.86,3
"740",110002,3.73,3
"741",110003,2.45,3
"742",110004,2.89,3
"743",110005,0.69,1
"744",110006,1.75,2
"745",110007,1.14,1
"746",110008,NA,3
"747",110009,0.88,1
"748",110010,5,3
"749",110011,1.15,1
"750",110012,5,3
"751",110013,2.25,3
"752",110014,1.46,2
"753",110015,NA,3
"754",110016,2.19,3
"755",110017,NA,2
"756",110018,1.43,2
"757",110019,NA,NA
"758",110020,0.96,1
"759",110021,0.71,1
"760",110022,1.09,1
"761",110023,1.5,2
"762",110024,NA,NA
"763",110025,NA,9
"764",110026,NA,1
"765",110027,2.05,3
"766",110028,NA,2
"767",110029,5,3
"768",110030,0.93,1
"769",110031,5,3
"770",110032,NA,9
"771",110033,0,1
"772",110034,0.99,1
"773",110035,1.69,2
"774",110036,1.44,2
"775",110037,NA,NA
"776",110038,2.13,3
"777",110039,1.27,1
"778",110040,1.09,1
"779",110041,2.92,3
"780",110042,2.22,3
"781",110043,3.27,3
"782",110044,4.11,3
"783",110045,NA,NA
"784",110046,0.2,1
"785",110047,3.26,3
"786",110048,NA,NA
"787",110049,NA,NA
"788",110050,1.06,1
"789",110051,NA,NA
"790",110052,NA,NA
"791",110053,1.42,2
"792",110054,0.71,1
"793",110055,1.77,2
"794",110056,NA,NA
"795",110057,5,3
"796",110058,0.71,1
"797",110059,5,3
"798",110060,2.59,3
"799",110061,2.99,3
"800",110062,1.46,2
"801",110063,0.19,1
"802",110064,3.95,3
"803",110065,2.94,3
"804",110066,2.85,3
"805",110067,1.24,1
"806",110068,NA,3
"807",110069,1.17,1
"808",110070,1.43,2
"809",110071,2.13,3
